split_0_epoch,split_0_train loss,split_0_train acc,split_1_epoch,split_1_train loss,split_1_train acc,split_2_epoch,split_2_train loss,split_2_train acc,split_3_epoch,split_3_train loss,split_3_train acc,split_4_epoch,split_4_train loss,split_4_train acc
14,4.144502266457207,tensor(0.8426),14,4.043031187433946,tensor(0.8315),14,4.15993395918294,tensor(0.8240),14,4.066124065926201,tensor(0.8477),14,4.299016225337982,tensor(0.8491)
15,4.15645683752863,tensor(0.8364),15,4.152855637826417,tensor(0.8442),15,4.040357319932235,tensor(0.8333),15,3.8714130552191484,tensor(0.8468),15,4.305015182495117,tensor(0.8468)
16,3.9844179498521903,tensor(0.8540),16,4.190944677905033,tensor(0.8450),16,3.9384568992413973,tensor(0.8433),16,4.115321099758148,tensor(0.8614),16,4.355499494075775,tensor(0.8495)
17,4.136689857432716,tensor(0.8546),17,4.181959472204509,tensor(0.8442),17,4.0552831637231925,tensor(0.8395),17,3.9228090957591406,tensor(0.8624),17,4.224874317646027,tensor(0.8593)
18,4.38682476470345,tensor(0.8614),18,4.1566569177727954,tensor(0.8462),18,4.081159804996691,tensor(0.8471),18,4.116621092746132,tensor(0.8646),18,4.152690827846527,tensor(0.8571)
19,4.260302324044077,tensor(0.8680),19,4.06662319522155,tensor(0.8534),19,4.038016887087571,tensor(0.8432),19,4.026833452676472,tensor(0.8709),19,4.143169009685517,tensor(0.8635)
20,4.399611934235222,tensor(0.8652),20,3.9797036522313167,tensor(0.8496),20,3.8706534630373906,tensor(0.8536),20,3.7484062690483895,tensor(0.8773),20,4.280187404155731,tensor(0.8638)
21,4.392453369341399,tensor(0.8734),21,4.464442143314763,tensor(0.8502),21,3.9943296407398425,tensor(0.8576),21,4.059658376794112,tensor(0.8796),21,4.167253983020783,tensor(0.8665)
22,4.012761934807426,tensor(0.8752),22,4.06450416226136,tensor(0.8569),22,3.9072936961525366,tensor(0.8627),22,3.911797561143574,tensor(0.8828),22,4.292926776409149,tensor(0.8677)
23,4.2188741721605,tensor(0.8796),23,4.205583086139278,tensor(0.8629),23,3.9084690683766414,tensor(0.8665),23,4.13548679728257,tensor(0.8849),23,4.435545551776886,tensor(0.8734)
24,4.214589564423812,tensor(0.8782),24,3.892651743010471,tensor(0.8668),24,4.03946862722698,tensor(0.8683),24,3.9070091529896387,tensor(0.8894),24,3.9781314969062804,tensor(0.8739)
25,4.0526074547516675,tensor(0.8745),25,4.197286348593862,tensor(0.8658),25,3.965187857025548,tensor(0.8687),25,3.8271465113288476,tensor(0.8861),25,4.543110179901123,tensor(0.8787)
26,4.149344905426628,tensor(0.8757),26,4.309032951530657,tensor(0.8192),26,4.007728419805828,tensor(0.8700),26,3.9039290076807927,tensor(0.8815),26,4.101351547241211,tensor(0.8834)
27,4.078894326561375,tensor(0.8775),27,4.2644089209406,tensor(0.8556),27,4.215509941703395,tensor(0.8732),27,3.9636691338137577,tensor(0.8723),27,4.404286432266235,tensor(0.8848)
28,4.319673230773525,tensor(0.8867),28,4.074950622884851,tensor(0.8660),28,3.8394082753281844,tensor(0.8754),28,4.133855778920023,tensor(0.8794),28,4.232071363925934,tensor(0.8868)
29,4.407701222520125,tensor(0.8926),29,4.215696033678557,tensor(0.8729),29,4.063855095913536,tensor(0.8779),29,3.9905592736444975,tensor(0.8892),29,4.161588358879089,tensor(0.8893)
30,4.258596457933125,tensor(0.8905),30,4.297696101038079,tensor(0.8807),30,4.075942629262021,tensor(0.8770),30,4.003230781931626,tensor(0.8930),30,4.219004368782043,tensor(0.8915)
31,4.363285651332454,tensor(0.8965),31,4.3482357294935925,tensor(0.8814),31,3.932613281827224,tensor(0.8762),31,3.9105585123363293,tensor(0.8812),31,4.250956070423126,tensor(0.8885)
32,4.080366300909143,tensor(0.8990),32,4.139368148226487,tensor(0.8806),32,3.913241750315616,tensor(0.8878),32,3.821147404218975,tensor(0.8896),32,3.9677843689918517,tensor(0.8936)
33,4.306304159917329,tensor(0.9012),33,3.981282020870008,tensor(0.8837),33,3.7822258346959163,tensor(0.8871),33,4.015560112501445,tensor(0.8922),33,4.257681715488434,tensor(0.8987)
34,4.0522789766913965,tensor(0.9020),34,4.11067007089916,tensor(0.8841),34,3.6726113965636804,tensor(0.8893),34,4.009305006579349,tensor(0.8956),34,4.0970028162002565,tensor(0.8970)
35,4.267638062175951,tensor(0.9062),35,3.9764101724875602,tensor(0.8877),35,3.779285176804191,tensor(0.8901),35,4.052288428733223,tensor(0.8970),35,4.244831287860871,tensor(0.8979)
36,4.191640634285776,tensor(0.9087),36,4.324077220339524,tensor(0.8892),36,4.153342739531868,tensor(0.8941),36,3.838418969982549,tensor(0.8996),36,4.065187907218933,tensor(0.9045)
37,4.329568429997093,tensor(0.9104),37,4.176273176544591,tensor(0.8911),37,4.245814681053162,tensor(0.8926),37,4.125560700893402,tensor(0.9012),37,4.05990868806839,tensor(0.9066)
38,3.974513292312622,tensor(0.9017),38,4.027684983454253,tensor(0.8946),38,3.7584453727069653,tensor(0.8989),38,3.855126917362213,tensor(0.9003),38,4.239659976959229,tensor(0.9081)
39,4.191442062980251,tensor(0.9064),39,4.1895272041621965,tensor(0.8966),39,4.06576246964304,tensor(0.8985),39,3.8778482550068905,tensor(0.8971),39,3.995374608039856,tensor(0.9090)
