split_0_epoch,split_0_Acc gesture,split_0_Edit gesture,split_0_F1-macro gesture,split_0_F1@10 gesture,split_0_F1@25 gesture,split_0_F1@50 gesture,split_1_epoch,split_1_Acc gesture,split_1_Edit gesture,split_1_F1-macro gesture,split_1_F1@10 gesture,split_1_F1@25 gesture,split_1_F1@50 gesture,split_2_epoch,split_2_Acc gesture,split_2_Edit gesture,split_2_F1-macro gesture,split_2_F1@10 gesture,split_2_F1@25 gesture,split_2_F1@50 gesture,split_3_epoch,split_3_Acc gesture,split_3_Edit gesture,split_3_F1-macro gesture,split_3_F1@10 gesture,split_3_F1@25 gesture,split_3_F1@50 gesture,split_4_epoch,split_4_Acc gesture,split_4_Edit gesture,split_4_F1-macro gesture,split_4_F1@10 gesture,split_4_F1@25 gesture,split_4_F1@50 gesture
15,82.60905995536292,86.74224759185132,0.8060156675187827,90.24134312696746,87.61804826862539,73.03252885624345,15,83.79531580914414,88.44154724358289,0.7966204957168054,90.77412513255568,89.5015906680806,79.32131495227996,15,83.79197091929467,83.6032799811349,0.8194779892052345,88.78600823045268,87.34567901234567,76.440329218107,15,80.01578614115586,85.04236125639252,0.7519167242584407,86.74698795180723,80.14667365112624,59.19329491880566,15,82.86000871336083,88.32142051605004,0.7908592376285976,90.78590785907859,87.26287262872629,70.46070460704608
16,83.47818800892742,89.68748867393273,0.8132207746603854,92.65477439664217,89.08709338929697,75.44596012591815,16,83.99464307960633,88.43910887812119,0.8044301827362647,91.14997350291468,89.87811340752516,79.91520932697402,16,83.96097063231402,86.72268503440546,0.8185306690949957,90.06024096385542,88.45381526104418,78.01204819277109,16,80.86320701529174,84.30327564457102,0.7573954399461056,85.83737210554658,80.23694130317716,60.096930533117934,16,84.03935196911823,89.36537516607655,0.8004972114278618,90.78681909885677,87.5588433086752,72.76395427034295
17,83.65871679831811,86.72010449823975,0.8141895530720639,91.0432033719705,88.19810326659642,74.60484720758693,17,84.34268718076491,88.86714372632305,0.8016921613035749,90.9577314071696,89.03156768325306,78.33065810593901,17,83.2746085902873,85.62972146740992,0.8151281669692615,89.47098099640472,87.51926040061633,75.80893682588598,17,80.1337485146282,85.31255299589455,0.748675847343146,87.29817007534984,80.30139935414424,59.6340150699677,17,83.29365039159465,90.6642555374154,0.7922267004392879,92.5271739130435,89.4021739130435,75.0
18,83.09275523495403,87.19612939484605,0.8065108894773196,90.79431877958969,87.84850078905839,72.69857969489742,18,81.93129438146256,89.45819809694743,0.780032639295432,91.63135593220339,90.25423728813558,75.7415254237288,18,83.51933930678231,85.16716248665469,0.816956393889758,89.74358974358975,88.61538461538461,77.64102564102564,18,80.49717670937021,82.14124830600613,0.7553011633328653,86.30211153221441,81.21277747698973,61.18029236599891,18,84.1852501038511,89.07338623209873,0.7982970041014515,92.03539823008849,89.17631041524847,74.74472430224641
19,82.87718710247485,87.42550085195583,0.7891609876473776,90.852064819655,87.9247255619446,73.60167276529012,19,84.96324903450854,90.37691351962322,0.8157282121107797,92.56286784376672,90.9577314071696,81.54093097913324,19,81.436338126973,87.14935790110123,0.7931528605036351,91.1327524346489,88.87749871860584,76.67862634546387,19,80.12680955148276,84.97742638913888,0.760682554601735,88.4698275862069,81.57327586206897,59.698275862068975,19,83.74755569965248,89.96209702792754,0.7896473454132703,92.00273410799727,88.5850991114149,74.91455912508545
20,83.1826387672245,88.52733952974194,0.8136353305893932,91.10282365476824,87.90623335109217,72.66915290356954,20,83.2378223495702,87.41458336546569,0.798603268734117,90.21852237252862,88.6576482830385,78.45993756503643,20,84.263097477759,85.7549875263952,0.8179472196395619,89.56743002544529,87.83715012722647,77.65903307888041,20,80.84152275546226,86.21623774974026,0.7650758161431944,87.35756918068367,80.73792729245794,61.313076505697225,20,84.62801041550573,90.64317218489016,0.7994882831325499,92.53935660506502,89.5277207392197,74.46954140999314
21,83.26642850069697,87.16939657075673,0.8186839945804348,90.66390041493776,88.17427385892115,74.99999999999999,21,85.03098916157967,90.26794558772032,0.8180734276738911,92.2008547008547,91.23931623931624,82.15811965811966,21,84.04865916265425,86.64229068431064,0.8146820719831057,90.41794087665647,88.58307849133537,79.10295616717636,21,81.36107762097649,84.58819846836583,0.7641809547246932,88.139281828074,81.82807399347116,60.60935799782373,21,84.43854547665123,90.82490922447492,0.7954909034452006,91.9476944253269,89.19476944253269,74.05368203716449
22,83.59549363578888,89.88980316944546,0.8179622899230603,92.52631578947368,89.6842105263158,75.26315789473684,22,85.2653544288028,91.57545458918932,0.8177572305401918,93.29787234042553,92.12765957446808,82.12765957446808,22,84.45840374988042,86.15026488137309,0.8205051424829092,90.61855670103091,89.48453608247424,80.0,22,81.81644707739547,84.42287736145263,0.7748418802604907,88.46572361262241,82.69858541893362,63.65614798694234,22,84.34634596095198,91.1959515032466,0.7934731393891954,92.97886843899114,89.43421949556918,75.52828902522155
23,83.31365544138147,89.20990472839485,0.8141805977995723,91.82590233545648,88.95966029723994,73.56687898089172,23,84.70786096922885,91.41588326652088,0.8020316538391786,92.67515923566879,90.76433121019109,80.99787685774947,23,84.21367303338542,85.58440673815758,0.821117003452366,90.25744573447754,88.13730439172134,78.04139323573952,23,81.75833326105247,84.56468289721131,0.7746030274350137,88.36206896551724,83.51293103448278,63.14655172413794,23,84.40308412445921,91.41706867254415,0.7953971660469733,92.96928327645053,89.69283276450511,75.4948805460751
24,82.92365231830958,86.97589307301243,0.8030563830613886,90.68450849202266,87.1847658260422,73.18579516212044,24,86.00893858228478,91.58684945451554,0.8231681954129604,93.49680170575694,91.89765458422174,82.62260127931769,24,84.66247887503587,85.38962975675742,0.8310526161318146,90.2699949057565,88.43606724401425,78.65511971472236,24,81.87889774570435,84.70956161918046,0.770462991420091,87.17391304347825,82.6086956521739,62.39130434782608,24,84.10115604008146,91.43505358450282,0.794466667822725,93.6431989063568,89.81544771018456,73.27409432672592
